t_ns,x,y,z,deviation_m
1780651958897058788,0.39692728370819147,-0.006580220205751761,0.2809260129716779,0.00016571894697611778
1780651958907493220,0.3969489294538853,-0.006642300412360018,0.2811742749483395,0.0001440736938399481
1780651958918501606,0.39696835618073517,-0.0067169979747695036,0.28147287589716713,0.00012464781682034127
1780651958930309071,0.396984942305166,-0.0067801393335799875,0.2817253999145406,0.00010806239922795404
1780651958938889779,0.39699993622863733,-0.0068557680530565365,0.28202773979454915,9.306970317265511e-05
1780651958948780025,0.39701263343095966,-0.006919724481234804,0.2822835403085279,8.037351808132796e-05
1780651958959431399,0.3970242205995149,-0.0069960683563509984,0.2825887538412591,6.878813486490006e-05
1780651958969780754,0.3970339285640366,-0.007060650659213297,0.28284707233737777,5.908165382037481e-05
1780651958981505938,0.3970428974518648,-0.007137543721831431,0.2831544944318868,5.011540638249046e-05
1780651958990616000,0.39705030758678006,-0.007202606540975723,0.28341474783073417,4.2707488868302484e-05
1780651959001498898,0.3970572641698256,-0.0072799213237500215,0.283723867275299,3.5754930391481926e-05
1780651959011302268,0.3970629078655158,-0.007345353024469571,0.28398560742093226,3.0114689012463932e-05
1780651959021022869,0.39706831789643116,-0.007422991633972635,0.28429603132497283,2.4711110062306533e-05
1780651959031532200,0.39707260358450946,-0.007488706488253845,0.28455891379718573,2.0431180435132213e-05
1780651959042956134,0.39707682506099756,-0.007566593755506959,0.2848703402315434,1.6220967176976817e-05
1780651959053296213,0.3970808949892778,-0.007652571271328339,0.2852140287341112,1.2171956838887332e-05
1780651959062832068,0.3970839166898522,-0.007725882375979827,0.2855072445391896,9.17330445074158e-06
1780651959075339328,0.39708622877074673,-0.007790351549503131,0.2857651983640921,6.888028016879329e-06
1780651959086367967,0.3970887112601241,-0.007866856995318583,0.2860711478841357,4.4758525384354895e-06
1780651959096246350,0.39709069342755465,-0.007942036656975883,0.2863719570571429,2.6276397847554237e-06
1780651959104407045,0.39709223946972694,-0.008017329475031885,0.28667335078336365,1.42468068624309e-06
